,NomeEstacao,CodEstacao,Bacia,SubBacia,Operadora,Responsavel,Municipio-UF,Latitude,Longitude,Altitude,CodRio,NomeRio,Origem,StatusEstacao
4188,PCH IJUIZINHO CERMISSÕES MONTANTE,75290000,7,75,00168 - CERMISSÕES - CERMISSÕES,00168 - CERMISSÕES - CERMISSÕES,ENTRE-IJUIS-RS,-28.41220,-54.30250,200.00,75103000,RIO IJUIZINHO,Setor Elétrico,Ativo
4189,PCH IJUIZINHO CERMISSÕES BARRAMENTO,75291000,7,75,00168 - CERMISSÕES - CERMISSÕES,00168 - CERMISSÕES - CERMISSÕES,ENTRE-IJUIS-RS,-28.40060,-54.31250,0.00,75103000,RIO IJUIZINHO,Setor Elétrico,Ativo
4190,UHE SÃO JOSÉ MONTANTE,75305000,7,75,00569 - IJUI ENERGIA - Ijuí Energia S.A,00569 - IJUI ENERGIA - Ijuí Energia S.A,CERRO LARGO-RS,-28.19970,-54.64310,164.00,75101000,RIO IJUÍ,Setor Elétrico,Ativo
4191,UHE SÃO JOSÉ ARROIO URUQUA,75307000,7,75,00569 - IJUI ENERGIA - Ijuí Energia S.A,00569 - IJUI ENERGIA - Ijuí Energia S.A,CAIBATÉ-RS,-28.29250,-54.69670,170.00,75103400,ARROIO URUQUA,Setor Elétrico,Ativo
4192,UHE SÃO JOSÉ RIACHO FUNDO,75318000,7,75,00569 - IJUI ENERGIA - Ijuí Energia S.A,00569 - IJUI ENERGIA - Ijuí Energia S.A,ROLADOR-RS,-28.22750,-54.75470,164.00,75103600,RIACHO FUNDO,Setor Elétrico,Ativo
4193,UHE SÃO JOSÉ BARRAMENTO,75325000,7,75,00569 - IJUI ENERGIA - Ijuí Energia S.A,00569 - IJUI ENERGIA - Ijuí Energia S.A,SALVADOR DAS MISSÕES-RS,-28.17780,-54.81440,0.00,75101000,RIO IJUÍ,Setor Elétrico,Ativo
4194,UHE SÃO JOSÉ JUSANTE,75326000,7,75,00569 - IJUI ENERGIA - Ijuí Energia S.A,00569 - IJUI ENERGIA - Ijuí Energia S.A,SALVADOR DAS MISSÕES-RS,-28.17440,-54.81920,141.00,75101000,RIO IJUÍ,Setor Elétrico,Ativo
4195,UHE PASSO SÃO JOÃO JAMES,75331000,7,75,00079 - CGT ELETROSUL - Companhia de Geração e Transmissão de Energia...,00079 - CGT ELETROSUL - Companhia de Geração e Transmissão de Energia...,ROLADOR-RS,-28.20690,-54.86970,0.00,75103500,ARROIO ROLADOR,Setor Elétrico,Ativo
4196,UHE PASSO SÃO JOÃO BARRAMENTO,75342000,7,75,00079 - CGT ELETROSUL - Companhia de Geração e Transmissão de Energia...,00079 - CGT ELETROSUL - Companhia de Geração e Transmissão de Energia...,ROQUE GONZALES-RS,-28.13250,-55.05170,0.00,75101000,RIO IJUÍ,Setor Elétrico,Ativo
4197,UHE PASSO SÃO JOÃO SÍTIO VALDIR COIMBRA,75343000,7,75,00079 - CGT ELETROSUL - Companhia de Geração e Transmissão de Energia...,00079 - CGT ELETROSUL - Companhia de Geração e Transmissão de Energia...,QUINZE DE NOVEMBRO-RS,-28.15890,-55.06250,0.00,75104000,LAJEADO DAS PEDRAS,Setor Elétrico,Ativo
